,0,1
0,dieskin_10005.wav,"{'alternative': [{'transcript': '自有千秋万代', 'confidence': 0.86319369}, {'transcript': '只有千秋万代'}, {'transcript': '真有千秋万代'}, {'transcript': '正有千秋万代'}, {'transcript': '曾有千秋万代'}], 'final': True}"
1,dieskin_1002.wav,"{'alternative': [{'transcript': '以后就交给年轻人了', 'confidence': 0.97136539}, {'transcript': '以后就教给年轻人了'}, {'transcript': '以后就叫给年轻人了'}, {'transcript': '一号就交给年轻人了'}], 'final': True}"
2,dieskin_1003.wav,"{'alternative': [{'transcript': '起因为承受不足公众图', 'confidence': 0.73242611}, {'transcript': '起因为承受不足公众脱'}, {'transcript': '群慧城市和富足公众图'}, {'transcript': '秦惠城区富足公众图'}, {'transcript': '新会城市或不足公众图'}], 'final': True}"
3,dieskin_1004.wav,"{'alternative': [{'transcript': '不行得记中得知程序', 'confidence': 0.80229712}, {'transcript': '不行得记中得知存恤'}, {'transcript': '不行得继总得吃饭去'}, {'transcript': '不行得季总得吃饭去'}, {'transcript': '不行得记中得知参数'}], 'final': True}"
4,dieskin_10101.wav,"{'alternative': [{'transcript': '原曲终究竟来不了了', 'confidence': 0.83722806}, {'transcript': '垣曲中究竟来不了了'}, {'transcript': '园区终究竟来不了了'}, {'transcript': '园区中究竟来不了了'}, {'transcript': '元曲终究竟来不了了'}], 'final': True}"
5,dieskin_10303.wav,"{'alternative': [{'transcript': '当然归初心难追', 'confidence': 0.80824882}, {'transcript': '等等人归初心难追'}, {'transcript': '等同人归初心难追'}, {'transcript': '当然归初心南村'}, {'transcript': '当然归初心难吹'}], 'final': True}"
6,dieskin_10304.wav,"{'alternative': [{'transcript': '婚前黄书分析', 'confidence': 0.83674973}, {'transcript': '婚前还是分析'}, {'transcript': '婚前黄素分析'}, {'transcript': '婚前黄术分析'}, {'transcript': '婚前黄淑传奇'}], 'final': True}"
7,dieskin_10305.wav,"{'alternative': [{'transcript': '小兄弟父亲的相似', 'confidence': 0.87455428}, {'transcript': '小兄弟父亲的相册'}, {'transcript': '小兄弟父亲的箱子'}, {'transcript': '小兄弟父亲的相思'}, {'transcript': '小兄姐妹父亲的相似'}], 'final': True}"
8,dieskin_10306.wav,"{'alternative': [{'transcript': '今夫君与王富能独生活', 'confidence': 0.86278111}, {'transcript': '今夫君以王赋能独生活'}, {'transcript': '今夫君与王赋能独生活'}, {'transcript': '今夫君与亡父那独生活'}, {'transcript': '今夫君以王赋能读生活'}], 'final': True}"
9,dieskin_104.wav,"{'alternative': [{'transcript': '聚会称心有不甘', 'confidence': 0.7687974}, {'transcript': '去会诚心有不甘'}, {'transcript': '聚会诚心有不甘'}, {'transcript': '而聚会称心有不甘'}, {'transcript': '去卫城是形容不干了'}], 'final': True}"
10,dieskin_10401.wav,"{'alternative': [{'transcript': '无锡聪明反被聪明误', 'confidence': 0.88350976}, {'transcript': '无锡聪明反被聪明误网'}, {'transcript': '吴旭聪明反被聪明误'}, {'transcript': '吴旭聪明反被聪明误网'}, {'transcript': '佛系聪明反被聪明误'}], 'final': True}"
11,dieskin_10402.wav,"{'alternative': [{'transcript': '小钟是在梦中', 'confidence': 0.82913095}, {'transcript': '修中是在梦中'}, {'transcript': '小钟是在梦中语'}, {'transcript': '秀中是在梦中'}, {'transcript': '修中是在梦中语'}], 'final': True}"
12,dieskin_10403.wav,"{'alternative': [{'transcript': '怀璧而是终止如此', 'confidence': 0.87546802}, {'transcript': '回避而是终止如此'}, {'transcript': '怀璧而是中止如此'}, {'transcript': '怀璧而是中置如此'}, {'transcript': '怀璧而式中至如此'}], 'final': True}"
13,dieskin_10404.wav,"{'alternative': [{'transcript': '数犯魏王之骑着骏会有意思', 'confidence': 0.86337197}, {'transcript': '数犯为王之骑着骏会有意思'}, {'transcript': '树范为王之骑着骏会有意思'}, {'transcript': '数犯胃王之骑着骏会有意思'}, {'transcript': '数犯魏王之骑着只会有意思'}], 'final': True}"
14,dieskin_106.wav,"{'alternative': [{'transcript': '10之火焚尽了毕生心理', 'confidence': 0.87574452}, {'transcript': '一林之火焚尽了毕生心理'}, {'transcript': '10之火焚尽了毕生心里'}, {'transcript': '10之火焚尽了一生心理'}, {'transcript': '一林之火焚尽了一生心理'}], 'final': True}"
15,dieskin_10601.wav,"{'alternative': [{'transcript': '终其一是时间不详', 'confidence': 0.80991477}, {'transcript': '中级一是时间不详'}, {'transcript': '终极一是时间不详'}, {'transcript': '终极一世时间不详'}, {'transcript': '终其一是10战投降'}], 'final': True}"
16,dieskin_107.wav,"{'alternative': [{'transcript': '不改意气用事是了忍者风范', 'confidence': 0.90101266}, {'transcript': '不改一气用事实了忍者风范'}, {'transcript': '不改意气用事实了忍者风范'}, {'transcript': '不改意气用事实了仁者风范'}, {'transcript': '不改意气用事死了忍者风范'}], 'final': True}"
17,dieskin_10701.wav,"{'alternative': [{'transcript': '未能进足球的多步跟进', 'confidence': 0.82516319}, {'transcript': '未能进中求的多步跟进'}, {'transcript': '未能进足球的过不跟进'}, {'transcript': '未能进足球的多不跟进'}, {'transcript': '未能进中球的多步跟进'}], 'final': True}"
18,dieskin_108.wav,"{'alternative': [{'transcript': '此生无悔为汉新汉军后人', 'confidence': 0.8795808}, {'transcript': '此生无悔为汉新汉族后人'}, {'transcript': '此生无悔为汉新汉执行后人'}, {'transcript': '此生无悔为汉新汉区后人'}, {'transcript': '此生无悔为汉新汉之邂逅'}], 'final': True}"
19,dieskin_10802.wav,"{'alternative': [{'transcript': '这次有辅助工作错了', 'confidence': 0.74748993}, {'transcript': '这次有附注工作做了'}, {'transcript': '这次就付诸公所了'}, {'transcript': '这次就付诸公所脱了'}, {'transcript': '这次就付诸公所措了'}], 'final': True}"
20,dieskin_10803.wav,"{'alternative': [{'transcript': '中共身无力在忽悠住了', 'confidence': 0.84528303}, {'transcript': '中共身无力在乎又住了'}, {'transcript': '朱共辰无力再忽悠住了'}, {'transcript': '中共身无力再忽悠住了'}, {'transcript': '中共称无力再忽悠住了'}], 'final': True}"
